Nomdel'organisation;Score
ProximityHCI;0
PULSAR;3
Purdy's;3
PURE innovation;0
Puzzle Medical Devices;1
PwC;3
QOHASH;3
Qualicode Logiciel;1
Quantisweb;3
Quantolio;3
QuantumBlack;3
QuestMedia;0
Quidd inc;1
Quinditech;3
QuoteMachine;3
Quovim C3;3
Radio-Canada;1
RailVision;3
RailVisionAnalytics;3
RakutenReady;3
RALI;3
RaymondChabotGrantThorntonLLP;3
Ray-Mont;0
RE-AK ;3
Realventures;3
ReasoningandLearningLab;3
RecharjME;3
Récompenses Flipit;0
reelyActive;3
ReflectionAI;3
RegtechCanada;0
Remedium;0
ReMI(Ultra);3
RenoRun;0
REPARTI;3
ReutersEikon;3
RevenuQuébec;3
Rexall;0
Rexys Inc.;3
RGA;0
Rhetorik;3
Rithmik;3
RithmikSolutions;3
RivoliFundManagement;0
Rivvi;3
Robotel;3
RockenTechnologies;0
Roof.ai;3
RTAAssociates;1
Rubikloud;3
S&Pcanada;3
Saccade Analytics;3
SaccadeAnalytics;1
Salesfloor;3
Sama;3
SamaSource;3
Samsung(SAITAILab);3
SAND;0
SantéLibre;0
SAS;3
SayAllo;3
SbxTechnologies;0
ScaleAI;3
ScopServ International Inc.;1
Scotiabank;3
ScribensProject;0
SeedAI;1
semanti.ca;0
Semanttica;0
Semeon Analytics;3
SEMEON ANALYTIQUE INC;0
SemeonAnalytics;3
Sensata;3
SENSE;3
SenseAI;0
SentinelleNord;3
Sentometrics;3
SeraiTrade;3
ServiceNow;3
Services Makila inc.;3
Servier;3
SERVO-ROBOT;3
SGInnovateSingapore;3
ShaddariTherapeutics;3
Shapeshift 3D;3
Shapeshift3D;3
ShenkerCanada;3
Sherweb Inc.;0
Shoofping;0
SiemensCanada;3
Silentale;3
Silverbolt;0
Simforhealth;0
SimmunomeAI;2
Simthetiq;3
Simu-K simulation et ingénierie;1
SimWellConsuting&Technologies;3
SiteBrand;3
Skema;3
Skullscan;3
SkullscanTechnologies;3
SmartDTechnologies;1
SmartPixel;0
SmartyfAI;3
SNCLavalin;3
Société des arts technologiques;3
SociétéGénérale;3
SodanConseillersTI;3
Sofdeskinc.;3
Softmoc;0
Solid State of Mind ;3
SOLIDLY Health;0
SolidStateofMind;3
Sollum;2
Solutions B-CITI inc.;3
Solutions Informatiques LOGICWARE;3
Solutions Notarius inc.;3
Solutions SmartUse inc.;0
Solutions Techso inc.;3
SolutionsD-teckinc.;0
SolutionTechnologies;2
Sonoscope;1
SourceKnowledge;0
SpacefileInternationalCorp;3
SPARKMicrosystems;3
Speakylink;0
SPIBio;0
Spockee;0
Sportlogiq;3
SpotEv;2
SQALogic;0
SquarePoint;3
sr-ai.co;3
SSE Carte à Puce Inc.;0
Ssense;3
SSQAssurance;3
StampedTechnologies;3
StateraMedical ;0
StockholmSyndrome.AI;3
StradigiAI;3
Stratuscent;3
StreamlineGenomics;2
StreamSystems;3
StrongBoxDataSolutions;3
Studyo;3
STYL&TECH Inc.;3
Succès Scolaire;3
SuccessFinder;0
Sunlife;3
Suntaeg;3
SuperiorPropone;3
SurveyMonkeyApply;1
Swapcard;3
SweetData.io;3
SynapseC;2
Synchronex;3
SYNTELL;2
Système photos et vidéos KoolReplay Inc.;0
Systèmes Siama Inc.;0
TackVerification;-1
TactioHealthGroup;3
TalemHealthAnalytics;2
TALSOM;3
TandemLaunch;3
Tastet;3
TD;3
Tech3Lab;3
Technocompetences;3
TECHNOCompétences;-1
TechnoLibre;0
Technologies Quantisweb Inc/Quantisweb Technologies Inc;0
Technologies RE-AK Inc.;3
Techstars;3
Télétravail Académie Inc.;0
TELUSSanté;3
Tengiva ;0
Termont;3
TetraTech;3
Thales Digital Solutions;2
Thales(revoirfactoryAI);0
Thaliesium;3
TheGreenLink;1
Therappx;1
Thingsfactory;0
ThinkLikeaMachine;3
Thirdbridge;0
TickSmith;3
Timechain;0
TMX;3
Tokidos;0
Ton Équipier;-1
Tonequipier;3
TOOLY;0
Tootelo;3
TOTE ;1
Toucan Solutions;3
Toumoro;3
TowersWatson;3
TradingScreen;3
TransCanadaCapital;1
TransMountain;3
TRAQC;0
Traxxall;3
Treliant;3
TrimacTransportations;3
Trisotech;3
TroisPrimeInc.;3
truba.news;0
TruePositiveMedicalDevices;3
TrueValueLab;3
Truxweb ;0
TRYKX Expérience Inc.;0
Turbodega;0
Tylio;0
Ubenwa;3
UbenwaHealth;3
UbisoftQuébec;3
UEAT;3
Umaneo;3
Unity;3
UniversitéConcordia;3
UniversitédeMontréal;3
UniversitédeSherbrooke;3
UniversitéduQuébecàMontréal;3
UniversitéduQuébecàTrois-Rivières;3
UniversitéLaval;3
UniversitéMcGill;3
UniversitéTÉLUQ;3
UNRYO;3
UpField ;3
UpscaleTechnology ;0
UtopiaImage;2
uxpertise;0
Valence;3
Valence(formerlyInVivoAI);3
ValenceDiscovery;3
VALERIA;1
Valital Technologies;3
ValitalTechnologies;3
Vectis Drive;0
Vention;3
Veriphi;1
VerosoftDesign;3
Vhrtech.ai;3
VIA;3
VidensAnalytics;3
VilledeMontréal;3
VirtualArtifacts;2
VirtualRehab;3
Visao;0
Visual Knowledge Share;3
VitalTracer;0
VlyyAIInc.;0
Voilà!;3
Vooban;3
Votie Solutions Inc.;1
vowsmith;0
Voxedia;0
Vumetric Cybersecurity Inc.;3
VuPointSystems;0
VyoO;3
Warp;1
Wastack;3
WasteRobotics;3
Wavo.me;3
WeChalet;3
WEGOTRADE;3
WhaleSeeker;3
WinningMinds;0
WiskAI;3
Workflowgen;3
Workland;3
WorthitLabs;0
Worximity Technologies Inc.;3
wrnchAI;3
WYSIWYG;3
Xpedigo;1
XpertSea;3
XtractAI;3
YPC Technologies;3
YPCTechnologies;3
Zelros;3
Zenika Conseil;1
ZestyAI;3
ZetaneSystemsInc.;0
Zilia;3
ZoneAgtech;3
Neuligent;3
9371-8963 Québec (Gedesys);3
9395-7199 Québec (Livia);0
Airudi;3
Applications mobiles Overview;3
Arctus;3
AtmanCo;3
BlueBear LES;3
Dilygence Apps;3
EasyPatternZ Incorporated;0
Société Enkidoo Technologies;2
Gestion Capital CDL;3
Groupe Elucidia;1
Groupe OCF;1
Immune Biosolutions;2
Impressview;0
Index Web Marketing;3
Technologies Kaira;2
Technologies Korbit;3
Laboratoires Biron;3
Local Logique / Entreprise Nexmoov;3
MoreIdeas;0
OSÉDÉA;-1
Productions Back to the Game;3
Recherches dimensionnelles Canada;3
Services Makila;3
Société pour l’informatique industrielle SII;3
Solutions Anagraph;2
Solutions M2Océan;0
Spectronix;0
Tack Vérification;3
TechnologiesD-BOX;3
Technologies Hop-Child;3
Umanéo Technologies;-1
Vaolo;3
Acquisition Podform 3D;3
Aquantix Financière;0
Blaise Transit;3
Bluecity;3
Solutions CognitiveChem;0
CRZUS Technologie Financière;0
Empego Technologies;0
Hyuman recrutement;0
Solution Nexam;1
Solutions Behav;3
Technologie XeoHive;3
Les Technologies Sponteous;3
Agri-Fusion;0
Agrisoft;3
IRDA;3
Matagora;0
Technologies Aarish;3
Valacta;3
Cyclenium Pharma;3
Modélis;3
MONOGENIC Pharmaceutiques;1
ABM Enviro;0
Instadesign Tec;0
C2T3;2
Clinique GO;3
Soins Gabrielle;0
Audace Technologies;0
OpDAQ Systèmes;1
Hatch;3
Carebook Technologies Eve Technologies;3
Progranova;3
Dévicom;3
E-SMART Contrôle;1
Royale Innovation Group;0
IPtoki;3
Semiosis interactive;0
Koïos Intelligence;-1
Agence Wittycloud;0
Objectif Lune;3
LTDL;1
Nuvoola;3
Concept B;0
DalCor Pharmaceutiques;1
STENT;3
SYSTRA Canada;3
Les solutions Axceta;3
Rockwell Collins Canada;3
Carillon;0
Groupe RHEA;3
La Société Dataperformers;3
Elekta;3
Oncopole;3
Kinduct;3
TÉLUQ;3
IHU Strasbourg;3
Les systèmes médicaux Intelerad;3
Intellident Dentaire;3
iMD Research;3
Institut universitaire en santé mentale Douglas;3
MAADI Group;3
Centre de métallurgie du Québec;3
Medicago R&D;3
PMA;0
Solutions Strateolab;0
Hôpital Maisonneuve-Rosemont;3
True North Marine;3
GMR Safety;3
Iregular;3
Logistiques Kemira;3
Centre de technologie physique et photonique de Montréal;3
Centre des technologies de l’eau;-1
Administration de pilotage des Laurentides;3
Société de développement économique du Saint-Laurent;3
Innovation maritime;3
AIR(AIRedefined);0
AIView;3
Artelys;3
Bolero AI;3
CIDCO;3
Explorai;3
FPT Software;3
Funartech;3
Gradient Ascent;3
Groupe Neos;3
INO;3
Keyrus Canada;3
LynX Inspection;1
Maverick Analytik;3
MindGradient Systems;3
Necando;3
Numea;3
Nurun;3
NVIDIA;3
OCF Group;3
Quantum Black;3
R2i;3
Root Intelligence;0
SIA Partners;3
Sphere AI;3
Statlog;3
Stratemia;1
Talan (Planaxis);3
AgmanicVisionInc.;3
DataScienceInstitute(DSI);0
;-1
